Distance (m),SF (kN),BM (kN-m)
0.0,25.0,0.0
0.25,25.0,6.25
0.5,25.0,12.5
0.75,25.0,18.75
1.0,25.0,25.0
1.25,25.0,31.25
1.5,25.0,37.5
1.75,25.0,43.75
2.0,25.0,50.0
2.25,25.0,56.25
2.5,25.0,62.5
2.75,25.0,68.75
3.0,25.0,75.0
3.25,25.0,81.25
3.5,25.0,87.5
3.75,25.0,93.75
4.0,25.0,100.0
4.25,25.0,106.25
4.5,25.0,112.5
4.75,25.0,118.75
5.0,25.0,125.0
5.25,25.0,131.25
5.5,25.0,137.5
5.75,25.0,143.75
6.0,25.0,150.0
6.25,25.0,156.25
6.5,25.0,162.5
6.75,25.0,168.75
7.0,25.0,175.0
7.25,25.0,181.25
7.5,25.0,187.5
7.75,25.0,193.75
8.0,25.0,200.0
8.25,25.0,206.25
8.5,25.0,212.5
8.75,25.0,218.75
9.0,25.0,225.0
9.25,25.0,231.25
9.5,25.0,237.5
9.75,25.0,243.75
10.0,25.0,250.0
